Year,Country / territory of asylum/residence,Origin,Population type,Value
2013,Canada,Singapore,Asylum-seekers,7
2013,Canada,Singapore,Refugees (incl. refugee-like situations),28
2013,Canada,Solomon Islands,Refugees (incl. refugee-like situations),39
2013,Canada,Sierra Leone,Asylum-seekers,9
2013,Canada,Sierra Leone,Refugees (incl. refugee-like situations),187
2013,Canada,El Salvador,Asylum-seekers,355
2013,Canada,El Salvador,Refugees (incl. refugee-like situations),1223
2013,Canada,San Marino,Refugees (incl. refugee-like situations),1
2013,Canada,Somalia,Asylum-seekers,306
2013,Canada,Somalia,Refugees (incl. refugee-like situations),3225
2013,Canada,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,122
2013,Canada,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),418
2013,Canada,Suriname,Asylum-seekers,0
2013,Canada,Suriname,Refugees (incl. refugee-like situations),8
2013,Canada,Slovakia,Asylum-seekers,364
2013,Canada,Slovakia,Refugees (incl. refugee-like situations),30
2013,Canada,Slovenia,Asylum-seekers,11
2013,Canada,Slovenia,Refugees (incl. refugee-like situations),9
2013,Canada,Sweden,Asylum-seekers,3
2013,Canada,Sweden,Refugees (incl. refugee-like situations),3
2013,Canada,Swaziland,Asylum-seekers,30
2013,Canada,Swaziland,Refugees (incl. refugee-like situations),71
2013,Canada,Seychelles,Refugees (incl. refugee-like situations),10
2013,Canada,Syrian Arab Rep.,Asylum-seekers,435
2013,Canada,Syrian Arab Rep.,Refugees (incl. refugee-like situations),592
2013,Canada,Turks and Caicos Islands,Asylum-seekers,5
2013,Canada,Chad,Asylum-seekers,29
2013,Canada,Chad,Refugees (incl. refugee-like situations),519
2013,Canada,Togo,Asylum-seekers,25
2013,Canada,Togo,Refugees (incl. refugee-like situations),248
2013,Canada,Thailand,Asylum-seekers,4
2013,Canada,Thailand,Refugees (incl. refugee-like situations),38
2013,Canada,Tibetan,Refugees (incl. refugee-like situations),58
2013,Canada,Tajikistan,Asylum-seekers,12
2013,Canada,Tajikistan,Refugees (incl. refugee-like situations),54
2013,Canada,Turkmenistan,Asylum-seekers,3
2013,Canada,Turkmenistan,Refugees (incl. refugee-like situations),21
2013,Canada,Trinidad and Tobago,Asylum-seekers,30
2013,Canada,Trinidad and Tobago,Refugees (incl. refugee-like situations),244
2013,Canada,Tunisia,Asylum-seekers,79
2013,Canada,Tunisia,Refugees (incl. refugee-like situations),202
2013,Canada,Turkey,Asylum-seekers,345
2013,Canada,Turkey,Refugees (incl. refugee-like situations),3464
2013,Canada,United Rep. of Tanzania,Asylum-seekers,26
2013,Canada,United Rep. of Tanzania,Refugees (incl. refugee-like situations),421
2013,Canada,Uganda,Asylum-seekers,46
2013,Canada,Uganda,Refugees (incl. refugee-like situations),844
2013,Canada,Ukraine,Asylum-seekers,243
2013,Canada,Ukraine,Refugees (incl. refugee-like situations),1605
2013,Canada,Uruguay,Asylum-seekers,7
2013,Canada,Uruguay,Refugees (incl. refugee-like situations),126
2013,Canada,United States of America,Asylum-seekers,205
2013,Canada,United States of America,Refugees (incl. refugee-like situations),4451
2013,Canada,Uzbekistan,Asylum-seekers,39
2013,Canada,Uzbekistan,Refugees (incl. refugee-like situations),273
2013,Canada,Saint Vincent and the Grenadines,Asylum-seekers,223
2013,Canada,Saint Vincent and the Grenadines,Refugees (incl. refugee-like situations),1524
2013,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,105
2013,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),837
2013,Canada,Viet Nam,Asylum-seekers,23
2013,Canada,Viet Nam,Refugees (incl. refugee-like situations),132
2013,Canada,Stateless,Asylum-seekers,2
2013,Canada,Stateless,Refugees (incl. refugee-like situations),1708
2013,Canada,Various/Unknown,Asylum-seekers,60
2013,Canada,Various/Unknown,Refugees (incl. refugee-like situations),70
2013,Canada,Yemen,Asylum-seekers,43
2013,Canada,Yemen,Refugees (incl. refugee-like situations),251
2013,Canada,South Africa,Asylum-seekers,22
2013,Canada,South Africa,Refugees (incl. refugee-like situations),45
2013,Canada,Zambia,Asylum-seekers,5
2013,Canada,Zambia,Refugees (incl. refugee-like situations),60
2013,Canada,Zimbabwe,Asylum-seekers,47
2013,Canada,Zimbabwe,Refugees (incl. refugee-like situations),3969
2013,Switzerland,Afghanistan,Asylum-seekers,2190
2013,Switzerland,Afghanistan,Refugees (incl. refugee-like situations),2578
2013,Switzerland,Angola,Asylum-seekers,77
2013,Switzerland,Angola,Refugees (incl. refugee-like situations),1055
2013,Switzerland,Albania,Asylum-seekers,72
2013,Switzerland,Albania,Refugees (incl. refugee-like situations),42
2013,Switzerland,Argentina,Refugees (incl. refugee-like situations),1
2013,Switzerland,Armenia,Asylum-seekers,145
2013,Switzerland,Armenia,Refugees (incl. refugee-like situations),83
2013,Switzerland,Australia,Asylum-seekers,0
2013,Switzerland,Austria,Refugees (incl. refugee-like situations),2
2013,Switzerland,Azerbaijan,Asylum-seekers,35
2013,Switzerland,Azerbaijan,Refugees (incl. refugee-like situations),65
2013,Switzerland,Burundi,Asylum-seekers,6
2013,Switzerland,Burundi,Refugees (incl. refugee-like situations),72
2013,Switzerland,Belgium,Asylum-seekers,0
2013,Switzerland,Benin,Asylum-seekers,33
2013,Switzerland,Benin,Refugees (incl. refugee-like situations),25
2013,Switzerland,Burkina Faso,Asylum-seekers,11
2013,Switzerland,Burkina Faso,Refugees (incl. refugee-like situations),11
2013,Switzerland,Bangladesh,Asylum-seekers,67
2013,Switzerland,Bangladesh,Refugees (incl. refugee-like situations),48
2013,Switzerland,Bulgaria,Asylum-seekers,7
2013,Switzerland,Bulgaria,Refugees (incl. refugee-like situations),14
2013,Switzerland,Bahrain,Asylum-seekers,5
2013,Switzerland,Bosnia and Herzegovina,Asylum-seekers,168
2013,Switzerland,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),2603
2013,Switzerland,Belarus,Asylum-seekers,56
2013,Switzerland,Belarus,Refugees (incl. refugee-like situations),28
2013,Switzerland,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),1
2013,Switzerland,Brazil,Asylum-seekers,1
2013,Switzerland,Brazil,Refugees (incl. refugee-like situations),10
2013,Switzerland,Bhutan,Asylum-seekers,4
2013,Switzerland,Bhutan,Refugees (incl. refugee-like situations),1
2013,Switzerland,Botswana,Asylum-seekers,1
2013,Switzerland,Central African Rep.,Asylum-seekers,2
2013,Switzerland,Central African Rep.,Refugees (incl. refugee-like situations),5
2013,Switzerland,Canada,Refugees (incl. refugee-like situations),1
2013,Switzerland,Chile,Asylum-seekers,0
2013,Switzerland,Chile,Refugees (incl. refugee-like situations),11
2013,Switzerland,China,Asylum-seekers,1676
2013,Switzerland,China,Refugees (incl. refugee-like situations),1684
2013,Switzerland,Côte d'Ivoire,Asylum-seekers,150
2013,Switzerland,Côte d'Ivoire,Refugees (incl. refugee-like situations),134
2013,Switzerland,Cameroon,Asylum-seekers,50
2013,Switzerland,Cameroon,Refugees (incl. refugee-like situations),194
2013,Switzerland,Dem. Rep. of the Congo,Asylum-seekers,351
2013,Switzerland,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),1287
2013,Switzerland,Congo,Asylum-seekers,7
2013,Switzerland,Congo,Refugees (incl. refugee-like situations),76
2013,Switzerland,Colombia,Asylum-seekers,16
2013,Switzerland,Colombia,Refugees (incl. refugee-like situations),308
2013,Switzerland,Cabo Verde,Asylum-seekers,1
2013,Switzerland,Cabo Verde,Refugees (incl. refugee-like situations),1
2013,Switzerland,Cuba,Asylum-seekers,7
2013,Switzerland,Cuba,Refugees (incl. refugee-like situations),38
2013,Switzerland,Cyprus,Asylum-seekers,0
2013,Switzerland,Czech Rep.,Asylum-seekers,2
2013,Switzerland,Czech Rep.,Refugees (incl. refugee-like situations),8
2013,Switzerland,Germany,Asylum-seekers,2
2013,Switzerland,Germany,Refugees (incl. refugee-like situations),2
2013,Switzerland,Djibouti,Asylum-seekers,2
2013,Switzerland,Djibouti,Refugees (incl. refugee-like situations),4
2013,Switzerland,Dominican Rep.,Asylum-seekers,0
2013,Switzerland,Dominican Rep.,Refugees (incl. refugee-like situations),1
2013,Switzerland,Algeria,Asylum-seekers,216
2013,Switzerland,Algeria,Refugees (incl. refugee-like situations),179
2013,Switzerland,Ecuador,Asylum-seekers,0
2013,Switzerland,Ecuador,Refugees (incl. refugee-like situations),14
2013,Switzerland,Egypt,Asylum-seekers,143
2013,Switzerland,Egypt,Refugees (incl. refugee-like situations),56
2013,Switzerland,Eritrea,Asylum-seekers,3698
2013,Switzerland,Eritrea,Refugees (incl. refugee-like situations),13106
2013,Switzerland,Western Sahara,Asylum-seekers,0
2013,Switzerland,Western Sahara,Refugees (incl. refugee-like situations),5
2013,Switzerland,Spain,Asylum-seekers,0
2013,Switzerland,Spain,Refugees (incl. refugee-like situations),3
2013,Switzerland,Estonia,Asylum-seekers,0
2013,Switzerland,Ethiopia,Asylum-seekers,533
2013,Switzerland,Ethiopia,Refugees (incl. refugee-like situations),657
2013,Switzerland,Finland,Asylum-seekers,0
2013,Switzerland,France,Asylum-seekers,0
2013,Switzerland,France,Refugees (incl. refugee-like situations),2
2013,Switzerland,Gabon,Asylum-seekers,5
2013,Switzerland,Gabon,Refugees (incl. refugee-like situations),5
2013,Switzerland,Georgia,Asylum-seekers,153
2013,Switzerland,Georgia,Refugees (incl. refugee-like situations),83
2013,Switzerland,Ghana,Asylum-seekers,39
2013,Switzerland,Ghana,Refugees (incl. refugee-like situations),8
2013,Switzerland,Guinea,Asylum-seekers,180
2013,Switzerland,Guinea,Refugees (incl. refugee-like situations),101
2013,Switzerland,Gambia,Asylum-seekers,179
2013,Switzerland,Gambia,Refugees (incl. refugee-like situations),35
2013,Switzerland,Guinea-Bissau,Asylum-seekers,183
2013,Switzerland,Guinea-Bissau,Refugees (incl. refugee-like situations),33
2013,Switzerland,Equatorial Guinea,Asylum-seekers,8
2013,Switzerland,Greece,Asylum-seekers,0
2013,Switzerland,Guatemala,Asylum-seekers,0
2013,Switzerland,Honduras,Asylum-seekers,1
2013,Switzerland,Croatia,Asylum-seekers,8
2013,Switzerland,Croatia,Refugees (incl. refugee-like situations),46
2013,Switzerland,Haiti,Asylum-seekers,2
2013,Switzerland,Haiti,Refugees (incl. refugee-like situations),2
2013,Switzerland,Hungary,Asylum-seekers,0
2013,Switzerland,Hungary,Refugees (incl. refugee-like situations),10
2013,Switzerland,India,Asylum-seekers,12
2013,Switzerland,India,Refugees (incl. refugee-like situations),43
2013,Switzerland,Iran (Islamic Rep. of),Asylum-seekers,675
2013,Switzerland,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),1355
2013,Switzerland,Iraq,Asylum-seekers,431
2013,Switzerland,Iraq,Refugees (incl. refugee-like situations),3883
2013,Switzerland,Israel,Asylum-seekers,2
2013,Switzerland,Israel,Refugees (incl. refugee-like situations),2
2013,Switzerland,Italy,Asylum-seekers,2
2013,Switzerland,Italy,Refugees (incl. refugee-like situations),7
2013,Switzerland,Jamaica,Asylum-seekers,2
2013,Switzerland,Jordan,Asylum-seekers,9
2013,Switzerland,Jordan,Refugees (incl. refugee-like situations),29
2013,Switzerland,Kazakhstan,Asylum-seekers,24
2013,Switzerland,Kazakhstan,Refugees (incl. refugee-like situations),16
2013,Switzerland,Kenya,Asylum-seekers,17
2013,Switzerland,Kenya,Refugees (incl. refugee-like situations),46
2013,Switzerland,Kyrgyzstan,Asylum-seekers,9
2013,Switzerland,Kyrgyzstan,Refugees (incl. refugee-like situations),25
2013,Switzerland,Cambodia,Asylum-seekers,0
2013,Switzerland,Cambodia,Refugees (incl. refugee-like situations),364
2013,Switzerland,Rep. of Korea,Asylum-seekers,1
2013,Switzerland,Kuwait,Asylum-seekers,1
2013,Switzerland,Lao People's Dem. Rep.,Refugees (incl. refugee-like situations),149
2013,Switzerland,Lebanon,Asylum-seekers,24
2013,Switzerland,Lebanon,Refugees (incl. refugee-like situations),35
2013,Switzerland,Liberia,Asylum-seekers,35
2013,Switzerland,Liberia,Refugees (incl. refugee-like situations),50
2013,Switzerland,Libya,Asylum-seekers,119
2013,Switzerland,Libya,Refugees (incl. refugee-like situations),199
2013,Switzerland,Sri Lanka,Asylum-seekers,1904
2013,Switzerland,Sri Lanka,Refugees (incl. refugee-like situations),3065
2013,Switzerland,Lithuania,Asylum-seekers,1
2013,Switzerland,Latvia,Asylum-seekers,1
2013,Switzerland,Latvia,Refugees (incl. refugee-like situations),2
2013,Switzerland,Morocco,Asylum-seekers,249
2013,Switzerland,Morocco,Refugees (incl. refugee-like situations),34
2013,Switzerland,Rep. of Moldova,Asylum-seekers,3
2013,Switzerland,Rep. of Moldova,Refugees (incl. refugee-like situations),14
2013,Switzerland,Madagascar,Asylum-seekers,0
2013,Switzerland,Madagascar,Refugees (incl. refugee-like situations),4
2013,Switzerland,Mexico,Asylum-seekers,2
2013,Switzerland,Mexico,Refugees (incl. refugee-like situations),1
2013,Switzerland,The former Yugoslav Republic of Macedonia,Asylum-seekers,153
2013,Switzerland,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),153
2013,Switzerland,Mali,Asylum-seekers,186
2013,Switzerland,Mali,Refugees (incl. refugee-like situations),10
2013,Switzerland,Myanmar,Asylum-seekers,17
2013,Switzerland,Myanmar,Refugees (incl. refugee-like situations),45
2013,Switzerland,Montenegro,Asylum-seekers,21
2013,Switzerland,Montenegro,Refugees (incl. refugee-like situations),29
2013,Switzerland,Mongolia,Asylum-seekers,60
2013,Switzerland,Mongolia,Refugees (incl. refugee-like situations),62
2013,Switzerland,Mozambique,Asylum-seekers,0
2013,Switzerland,Mauritania,Asylum-seekers,45
2013,Switzerland,Mauritania,Refugees (incl. refugee-like situations),2
2013,Switzerland,Malawi,Asylum-seekers,5
2013,Switzerland,Malaysia,Asylum-seekers,1
2013,Switzerland,Malaysia,Refugees (incl. refugee-like situations),2
2013,Switzerland,Namibia,Asylum-seekers,0
2013,Switzerland,Niger,Asylum-seekers,16
2013,Switzerland,Niger,Refugees (incl. refugee-like situations),10
2013,Switzerland,Nigeria,Asylum-seekers,328
2013,Switzerland,Nigeria,Refugees (incl. refugee-like situations),113
2013,Switzerland,Nicaragua,Asylum-seekers,2
2013,Switzerland,Netherlands,Asylum-seekers,0
2013,Switzerland,Nepal,Asylum-seekers,36
2013,Switzerland,Nepal,Refugees (incl. refugee-like situations),9
2013,Switzerland,Pakistan,Asylum-seekers,198
2013,Switzerland,Pakistan,Refugees (incl. refugee-like situations),99
2013,Switzerland,Peru,Asylum-seekers,1
2013,Switzerland,Peru,Refugees (incl. refugee-like situations),10
2013,Switzerland,Philippines,Asylum-seekers,0
2013,Switzerland,Philippines,Refugees (incl. refugee-like situations),3
2013,Switzerland,Papua New Guinea,Asylum-seekers,0
2013,Switzerland,Poland,Asylum-seekers,1
2013,Switzerland,Poland,Refugees (incl. refugee-like situations),9
2013,Switzerland,Dem. People's Rep. of Korea,Asylum-seekers,1
2013,Switzerland,Dem. People's Rep. of Korea,Refugees (incl. refugee-like situations),2
2013,Switzerland,Portugal,Asylum-seekers,0
2013,Switzerland,Portugal,Refugees (incl. refugee-like situations),5
2013,Switzerland,Paraguay,Asylum-seekers,0
2013,Switzerland,Paraguay,Refugees (incl. refugee-like situations),2
2013,Switzerland,Palestinian,Asylum-seekers,1
2013,Switzerland,Palestinian,Refugees (incl. refugee-like situations),24
2013,Switzerland,Romania,Asylum-seekers,4
2013,Switzerland,Romania,Refugees (incl. refugee-like situations),25
2013,Switzerland,Russian Federation,Asylum-seekers,307
2013,Switzerland,Russian Federation,Refugees (incl. refugee-like situations),601
2013,Switzerland,Rwanda,Asylum-seekers,11
2013,Switzerland,Rwanda,Refugees (incl. refugee-like situations),168
2013,Switzerland,Saudi Arabia,Asylum-seekers,0
2013,Switzerland,Saudi Arabia,Refugees (incl. refugee-like situations),3
2013,Switzerland,Sudan,Asylum-seekers,102
2013,Switzerland,Sudan,Refugees (incl. refugee-like situations),167
2013,Switzerland,Senegal,Asylum-seekers,71
2013,Switzerland,Senegal,Refugees (incl. refugee-like situations),11
2013,Switzerland,Singapore,Asylum-seekers,0
2013,Switzerland,Solomon Islands,Asylum-seekers,0
2013,Switzerland,Sierra Leone,Asylum-seekers,36
2013,Switzerland,Sierra Leone,Refugees (incl. refugee-like situations),34
2013,Switzerland,Somalia,Asylum-seekers,820
2013,Switzerland,Somalia,Refugees (incl. refugee-like situations),4101
2013,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,833
2013,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),3542
2013,Switzerland,South Sudan,Asylum-seekers,9
2013,Switzerland,Sao Tome and Principe,Asylum-seekers,1
2013,Switzerland,Slovakia,Asylum-seekers,0
2013,Switzerland,Slovakia,Refugees (incl. refugee-like situations),1
2013,Switzerland,Slovenia,Asylum-seekers,0
2013,Switzerland,Swaziland,Asylum-seekers,1
2013,Switzerland,Syrian Arab Rep.,Asylum-seekers,2849
2013,Switzerland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2012
2013,Switzerland,Chad,Asylum-seekers,9
2013,Switzerland,Chad,Refugees (incl. refugee-like situations),49
2013,Switzerland,Togo,Asylum-seekers,94
2013,Switzerland,Togo,Refugees (incl. refugee-like situations),703
2013,Switzerland,Tajikistan,Asylum-seekers,0
2013,Switzerland,Tajikistan,Refugees (incl. refugee-like situations),4
2013,Switzerland,Turkmenistan,Asylum-seekers,2
2013,Switzerland,Turkmenistan,Refugees (incl. refugee-like situations),9
2013,Switzerland,Tunisia,Asylum-seekers,271
2013,Switzerland,Tunisia,Refugees (incl. refugee-like situations),333
2013,Switzerland,Turkey,Asylum-seekers,916
2013,Switzerland,Turkey,Refugees (incl. refugee-like situations),3638
2013,Switzerland,United Rep. of Tanzania,Asylum-seekers,16
2013,Switzerland,United Rep. of Tanzania,Refugees (incl. refugee-like situations),14
2013,Switzerland,Uganda,Asylum-seekers,27
2013,Switzerland,Uganda,Refugees (incl. refugee-like situations),31
2013,Switzerland,Ukraine,Asylum-seekers,23
2013,Switzerland,Ukraine,Refugees (incl. refugee-like situations),19
2013,Switzerland,Uruguay,Asylum-seekers,0
2013,Switzerland,United States of America,Asylum-seekers,1
2013,Switzerland,United States of America,Refugees (incl. refugee-like situations),1
2013,Switzerland,Uzbekistan,Asylum-seekers,4
2013,Switzerland,Uzbekistan,Refugees (incl. refugee-like situations),54
2013,Switzerland,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2013,Switzerland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2013,Switzerland,Viet Nam,Asylum-seekers,10
2013,Switzerland,Viet Nam,Refugees (incl. refugee-like situations),1255
2013,Switzerland,Samoa,Asylum-seekers,7
2013,Switzerland,Stateless,Asylum-seekers,27
2013,Switzerland,Stateless,Refugees (incl. refugee-like situations),142
2013,Switzerland,Various/Unknown,Asylum-seekers,466
2013,Switzerland,Various/Unknown,Refugees (incl. refugee-like situations),625
2013,Switzerland,Yemen,Asylum-seekers,107
2013,Switzerland,Yemen,Refugees (incl. refugee-like situations),252
2013,Switzerland,South Africa,Asylum-seekers,8
2013,Switzerland,South Africa,Refugees (incl. refugee-like situations),3
2013,Switzerland,Zambia,Asylum-seekers,1
2013,Switzerland,Zimbabwe,Asylum-seekers,9
2013,Switzerland,Zimbabwe,Refugees (incl. refugee-like situations),14
2013,Chile,Afghanistan,Asylum-seekers,0
2013,Chile,Afghanistan,Refugees (incl. refugee-like situations),14
2013,Chile,Albania,Asylum-seekers,1
2013,Chile,Argentina,Refugees (incl. refugee-like situations),1
2013,Chile,Bolivia (Plurinational State of),Asylum-seekers,11
2013,Chile,Brazil,Asylum-seekers,1
2013,Chile,Cameroon,Refugees (incl. refugee-like situations),1
2013,Chile,Dem. Rep. of the Congo,Asylum-seekers,5
2013,Chile,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),5
2013,Chile,Colombia,Asylum-seekers,355
2013,Chile,Colombia,Refugees (incl. refugee-like situations),977
2013,Chile,Costa Rica,Refugees (incl. refugee-like situations),3
2013,Chile,Cuba,Asylum-seekers,20
2013,Chile,Cuba,Refugees (incl. refugee-like situations),18
2013,Chile,Ecuador,Asylum-seekers,1
2013,Chile,Ecuador,Refugees (incl. refugee-like situations),18
2013,Chile,Ghana,Asylum-seekers,5
2013,Chile,Haiti,Refugees (incl. refugee-like situations),1
2013,Chile,Iraq,Asylum-seekers,0
2013,Chile,Iraq,Refugees (incl. refugee-like situations),2
2013,Chile,Kenya,Refugees (incl. refugee-like situations),2
2013,Chile,Sri Lanka,Refugees (incl. refugee-like situations),6
2013,Chile,Mexico,Asylum-seekers,2
2013,Chile,Nigeria,Refugees (incl. refugee-like situations),3
2013,Chile,Nepal,Asylum-seekers,0
2013,Chile,Peru,Asylum-seekers,3
2013,Chile,Peru,Refugees (incl. refugee-like situations),118
2013,Chile,Palestinian,Asylum-seekers,0
2013,Chile,Palestinian,Refugees (incl. refugee-like situations),119
2013,Chile,Russian Federation,Asylum-seekers,3
2013,Chile,Russian Federation,Refugees (incl. refugee-like situations),2
2013,Chile,Senegal,Asylum-seekers,4
2013,Chile,El Salvador,Asylum-seekers,0
2013,Chile,El Salvador,Refugees (incl. refugee-like situations),3
2013,Chile,Somalia,Refugees (incl. refugee-like situations),2
2013,Chile,Syrian Arab Rep.,Asylum-seekers,5
2013,Chile,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2013,Chile,Togo,Asylum-seekers,1
2013,Chile,Ukraine,Asylum-seekers,2
2013,Chile,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2013,Chile,Various/Unknown,Refugees (incl. refugee-like situations),443
2013,China,Afghanistan,Refugees (incl. refugee-like situations),7
2013,China,Angola,Asylum-seekers,1
2013,China,Central African Rep.,Asylum-seekers,3
2013,China,Côte d'Ivoire,Asylum-seekers,3
2013,China,Cameroon,Asylum-seekers,6
2013,China,Dem. Rep. of the Congo,Asylum-seekers,1
2013,China,Egypt,Asylum-seekers,1
2013,China,Eritrea,Asylum-seekers,4
2013,China,Ethiopia,Asylum-seekers,0
2013,China,Ghana,Asylum-seekers,7
2013,China,Guinea,Asylum-seekers,8
2013,China,Gambia,Asylum-seekers,2
2013,China,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),1
2013,China,Iraq,Asylum-seekers,1
2013,China,Iraq,Refugees (incl. refugee-like situations),15
2013,China,Kenya,Asylum-seekers,3
2013,China,Liberia,Asylum-seekers,26
2013,China,Mali,Asylum-seekers,1
2013,China,Nigeria,Asylum-seekers,59
2013,China,Pakistan,Asylum-seekers,16
2013,China,Pakistan,Refugees (incl. refugee-like situations),40
2013,China,Philippines,Asylum-seekers,2
2013,China,Palestinian,Asylum-seekers,4
2013,China,Palestinian,Refugees (incl. refugee-like situations),5
2013,China,Russian Federation,Asylum-seekers,1
2013,China,Rwanda,Asylum-seekers,5
2013,China,Sudan,Asylum-seekers,0
2013,China,Sierra Leone,Asylum-seekers,13
2013,China,Somalia,Asylum-seekers,199
2013,China,Somalia,Refugees (incl. refugee-like situations),82
2013,China,Swaziland,Asylum-seekers,1
2013,China,Syrian Arab Rep.,Asylum-seekers,1
2013,China,Uganda,Asylum-seekers,5
2013,China,Viet Nam,Refugees (incl. refugee-like situations),300896
2013,China,Yemen,Asylum-seekers,2
2013,China,Zimbabwe,Asylum-seekers,5
2013,China,Zimbabwe,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Afghanistan,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Angola,Refugees (incl. refugee-like situations),5
2013,Côte d'Ivoire,Burundi,Refugees (incl. refugee-like situations),33
2013,Côte d'Ivoire,Benin,Asylum-seekers,2
2013,Côte d'Ivoire,Benin,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Burkina Faso,Asylum-seekers,1
2013,Côte d'Ivoire,Burkina Faso,Refugees (incl. refugee-like situations),3
2013,Côte d'Ivoire,Central African Rep.,Asylum-seekers,41
2013,Côte d'Ivoire,Central African Rep.,Refugees (incl. refugee-like situations),43
2013,Côte d'Ivoire,Cameroon,Asylum-seekers,8
2013,Côte d'Ivoire,Cameroon,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Dem. Rep. of the Congo,Asylum-seekers,62
2013,Côte d'Ivoire,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),159
2013,Côte d'Ivoire,Congo,Asylum-seekers,19
2013,Côte d'Ivoire,Congo,Refugees (incl. refugee-like situations),161
2013,Côte d'Ivoire,Eritrea,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Ethiopia,Asylum-seekers,2
2013,Côte d'Ivoire,Ethiopia,Refugees (incl. refugee-like situations),2
2013,Côte d'Ivoire,France,Asylum-seekers,1
2013,Côte d'Ivoire,Gabon,Asylum-seekers,3
2013,Côte d'Ivoire,Ghana,Asylum-seekers,9
2013,Côte d'Ivoire,Ghana,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Guinea,Asylum-seekers,15
2013,Côte d'Ivoire,Guinea,Refugees (incl. refugee-like situations),4
2013,Côte d'Ivoire,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),6
2013,Côte d'Ivoire,Cambodia,Refugees (incl. refugee-like situations),28
2013,Côte d'Ivoire,Lebanon,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Liberia,Asylum-seekers,269
2013,Côte d'Ivoire,Liberia,Refugees (incl. refugee-like situations),2366
2013,Côte d'Ivoire,Sri Lanka,Asylum-seekers,1
2013,Côte d'Ivoire,Sri Lanka,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Mali,Asylum-seekers,10
2013,Côte d'Ivoire,Mauritania,Asylum-seekers,2
2013,Côte d'Ivoire,Mauritania,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Niger,Asylum-seekers,1
2013,Côte d'Ivoire,Niger,Refugees (incl. refugee-like situations),4
2013,Côte d'Ivoire,Nigeria,Asylum-seekers,84
2013,Côte d'Ivoire,Nigeria,Refugees (incl. refugee-like situations),19
2013,Côte d'Ivoire,Pakistan,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Palestinian,Asylum-seekers,4
2013,Côte d'Ivoire,Rwanda,Asylum-seekers,14
2013,Côte d'Ivoire,Rwanda,Refugees (incl. refugee-like situations),74
2013,Côte d'Ivoire,Sudan,Asylum-seekers,1
2013,Côte d'Ivoire,Sudan,Refugees (incl. refugee-like situations),7
2013,Côte d'Ivoire,Senegal,Asylum-seekers,1
2013,Côte d'Ivoire,Sierra Leone,Asylum-seekers,9
2013,Côte d'Ivoire,Syrian Arab Rep.,Asylum-seekers,12
2013,Côte d'Ivoire,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2013,Côte d'Ivoire,Chad,Asylum-seekers,8
2013,Côte d'Ivoire,Chad,Refugees (incl. refugee-like situations),17
2013,Côte d'Ivoire,Togo,Asylum-seekers,26
2013,Côte d'Ivoire,Togo,Refugees (incl. refugee-like situations),29
2013,Côte d'Ivoire,Uganda,Asylum-seekers,1
2013,Côte d'Ivoire,Uganda,Refugees (incl. refugee-like situations),1
2013,Côte d'Ivoire,Viet Nam,Asylum-seekers,1
2013,Côte d'Ivoire,Viet Nam,Refugees (incl. refugee-like situations),8
2013,Cameroon,Afghanistan,Asylum-seekers,0
2013,Cameroon,Angola,Refugees (incl. refugee-like situations),12
2013,Cameroon,Burundi,Asylum-seekers,3
2013,Cameroon,Burundi,Refugees (incl. refugee-like situations),71
2013,Cameroon,Benin,Asylum-seekers,3
2013,Cameroon,Burkina Faso,Asylum-seekers,10
